Date,Vendor,Amount,Category,Schedule_C_Line,Type
2025-06-05,Google ChatGPT,21.77,AI Subscription,27a,Expense
2025-06-07,ANTHROPIC,5.43,AI Subscription,27a,Expense
2025-06-07,Google Claude by Anth,21.78,AI Subscription,27a,Expense
2025-06-07,CLAUDE.AI SUBSCRIPTION,21.72,AI Subscription,27a,Expense
2025-06-07,Google ChatGPT,185.38,AI Subscription,27a,Expense
2025-06-09,CLAUDE.AI SUBSCRIPTION,88.43,AI Subscription,27a,Expense
2025-06-09,XAI LLC,30.0,AI Subscription,27a,Expense
2025-06-10,Google Claude by Anth,-21.78,AI Subscription,27a,Refund
2025-06-14,CLAUDE.AI SUBSCRIPTION,125.02,AI Subscription,27a,Expense
2025-06-19,Google One,21.77,Cloud Storage,27a,Expense
2025-06-28,Google Perplexity Ask,21.77,AI Subscription,27a,Expense
2025-07-03,Google ChatGPT,217.8,AI Subscription,27a,Expense
2025-07-09,XAI LLC,30.0,AI Subscription,27a,Expense
2025-07-14,CLAUDE.AI SUBSCRIPTION,217.2,AI Subscription,27a,Expense
2025-08-08,Google ChatGPT,10.89,AI Subscription,27a,Expense
2025-08-09,XAI LLC,30.0,AI Subscription,27a,Expense
2025-08-14,CLAUDE.AI SUBSCRIPTION,108.6,AI Subscription,27a,Expense
2025-09-06,Google ChatGPT,10.89,AI Subscription,27a,Expense
2025-09-09,XAI LLC,30.0,AI Subscription,27a,Expense
2025-09-14,CLAUDE.AI SUBSCRIPTION,21.72,AI Subscription,27a,Expense
2025-10-06,Google ChatGPT,10.89,AI Subscription,27a,Expense
2025-10-14,CLAUDE.AI SUBSCRIPTION,21.72,AI Subscription,27a,Expense
2025-11-06,Google ChatGPT,21.77,AI Subscription,27a,Expense
2025-11-14,CLAUDE.AI SUBSCRIPTION,21.72,AI Subscription,27a,Expense
2025-11-19,CLAUDE.AI SUBSCRIPTION,199.35,AI Subscription,27a,Expense
2025-11-19,XAI LLC,30.0,AI Subscription,27a,Expense
2025-11-20,"GITHUB, INC.",10.0,Dev Tools,27a,Expense
2025-11-22,"GITHUB, INC.",51.85,Dev Tools,27a,Expense
2025-11-22,"GITHUB, INC.",10.0,Dev Tools,27a,Expense
2025-11-22,"GITHUB, INC.",10.0,Dev Tools,27a,Expense
2025-11-22,"GITHUB, INC.",39.53,Dev Tools,27a,Expense
2025-11-22,GOOGLE *GitHub,42.46,Dev Tools,27a,Expense
2025-11-22,GOOGLE *GitHub,42.46,Dev Tools,27a,Expense
2025-11-23,"GITHUB, INC.",1.0,Dev Tools,27a,Expense
2025-11-23,"GITHUB, INC.",52.13,Dev Tools,27a,Expense
2025-11-23,"GITHUB, INC.",10.0,Dev Tools,27a,Expense
